id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
84953200,4558517663047,Kệ đựng dụng cụ rửa chén dán tường Hobby Home Decor KRC6 inox 304 có miếng dánHình ảnh thực tế về kệ rổ HOBBY KRC6Phối cảnh khi sử dụngThông tin kỹ thuậtChất liệu Inox 304 không rỉ sétCó kh...,279000,279000,,0,0,70,,available,,1000,1000,,230607,Hobby Home Decor
274121804,7628606625723,Thông tin sản phẩmKích thước: 20cm x 100cm (đường kính x chiều dài)Chất liệu: Microfiber cao cấpVỏ áo gối: Vải CottonChính sách đổi trả: 1 đổi 1 trong vòng 7 ngàyBảo hành: 90 ngày 1. Ngon giấc...,310000,550000,,240000,44,163,,available,,1000,1000,,464405,Nệm Thuần Việt
181909425,4901880574906,Nồi 1 Tay Cầm Suit LocknLock CSU1181PIK có phần Ion cảm ứng được phủ đầy đủ và rộng rãi dươi đáy làm gia tăng tác dụng hấp thụ nhiệt Bề mặt đáy mịn giúp giảm thiểu vết xước khi cọ sát Thiết kế tay c...,520000,945000,,425000,45,45,,available,,1000,1000,,48077,LocknLock
149959628,2002219796673,"Cmbo 6 Cuộn Túi Đựng Rác Gia Đình, Bao Đựng Rác Văn Phòng, Trường Học Tiện Lợi Màu Đen Đầy Đủ 3 Size Tiểu Trung Đại - Chính Hãng MINIIN Bịch đựng rác 3 cuộn cỡ đại, trung, tiểu / Túi đựng rác lốc 3 ...",45000,45000,,0,0,46,,available,,1000,1000,,5132069,MINIIN
116244976,3777849992418,"Túi đựng hộp cơm Grepaco giữ nhiệt nóng lạnh đựng đồ thức ăn văn phòng, du lịch – Vải bố canvas, kích thước to (cỡ lớn), kiểu dáng giỏ xách thời trang nam nữ- Tặng túi đựng muỗng nĩa. Mẫu túi đựng cơ...",149000,149000,,0,0,138,,available,,1000,1000,,5076287,GREPACO
87637536,9323898883181,"Máy Diệt Muỗi Cao Cấp, Diệt Côn Trùng, Kiêm Đèn LED Ngủ Thông Minh, Thân Thiện Với Môi Trường - Hàng Chính Hãng - VinBuyKhí hậu nhiệt đới gió mùa của nước ta thường kèm theo nhiều lại côn trùng gây h...",45000,80000,,35000,44,104,,available,,1000,1000,,4224691,VinBuy
105026602,4793881015591,Bộ sản phẩm gồm 1 đầu phát tín hiệu và 1 đầu thu.Kích thước đầu phát: 60 x 34x dày 11 mmKÍch thước đầu thu phát âm thanh: 81 x 81 x  dày 20 mmCó 52 nhạc chuông với 4 mức âm lượngSản phẩm thích hợp...,249000,249000,,0,0,58,,available,,1000,1000,,505925,VIMOS
11710987,1438329263940,"Combo 10 cuộn keo lụa vặn ren vòi nước, ren ống cao cấp (Cao su non, băng tan )Bộ sản phẩm 10 cuộn băng tanBăng tan (cao su non) là thiết bị rất cần thiết khi lắp đặt các loại ống nướcGiúp làm kh...",38000,38000,,0,0,37,,available,,1000,1000,,111461,OEM
198214329,6808241776579,Bộ chuyển đổi 3 chấu thành 2 chấu phích tròn.Chân thành cảm ơn quý khách!...,28500,30000,,1500,5,54,,available,,1000,1000,,4439523,BARWELL
149242704,1964288525421,Đinh kèm móc là loại đinh thế hệ mới giúp đóng vào tường chắc chắn nhưng không làm mất mỹ quan như các loại đinh thông thường. Đinh có thể chịu lực lên đến 5 - 8 Kg tùy chất liệu tường đóng vào. Có th...,32200,35000,,2800,8,12,,available,,1000,1000,,4269901,MO hi
157511267,8522370251531,"       Ổ Cắm Thông Minh 16A - Ổ Cắm Wifi Rạng Đông 3500W - Chức Năng Hẹn Giờ, Điều Khiển Từ Xa - Bảo Hành 2 Năm    Giới thiệu Ổ cắm wifi Rạng Đông khiển tắt mở bằng wifi:   - Bạn muốn điều khiển...",190000,190000,,0,0,0,,available,,1000,1000,,193677,Rạng Đông
140791193,8072612100006,"Philips là một trong những thương hiệu chiếu sáng đáng tin cậy hàng đầu trên toàn thế giới. Với đến công nghệ luôn được cải tiến, chất lượng sản phẩm vượt trội, giá thành hợp lý giúp cải thiện và nâng...",56000,90000,,34000,38,99,,available,,1000,1000,,19018,Philips
72615961,9299932453911,"Hướng dẫn chọn sản phẩm theo nhu cầu: 1. Chọn  7 màu: Vàng nắng, Vàng, Phối nhiều màu, Trắng, Xanh lam, xanh lá, đỏ.2. Chọn chiều dài dây: 1 mét, 2 mét, 5 mét, 10 mét, 20 mét3. Chọn loại cấp ngu...",23000,23000,,0,0,736,,available,,1000,1000,,851253,DEHA
192975755,8998322525787,"Lắp ráp và vận chuyển:- Bộ sản phẩm được đóng gói dạng rời gồm các tấm gỗ kèm theo sơ đồ lắp ráp, đầy đủ phụ kiện, video. Bạn sẽ tiến hành lắp ráp theo hướng dẫn.- Nếu có lỗi/hư hỏng (kể cả do lỗi v...",95000,95000,,0,0,35,,available,,1000,1000,,4720599,kegoda
72041730,3564717690406,"Bộ Dao 6 Món Lock&Lock (4 Dao, 1 Kéo, 1 Hộp Đựng Dao) CKK802 bao gồm các loại cần thiết trong nhà bếp giúp công việc nhà bếp của bạn trở nên nhẹ nhàng thoải mái hơn.Hộp đựng dao có thể được sử dụ...",547000,996000,,449000,45,178,,available,,1000,1000,,48077,LocknLock
32072094,7281770135144,"Thông tin dầu neem hữu cơ DOCNEEM:Thương hiệu DOCNEEM đã được đăng ký bảo hộ tại cục sở hữu trí tuệ Việt Nam.Dầu Neem oil nguyên chất được ép theo công nghệ hiện đại ""COLD PRESSED"" ép lạnh từ quả và...",150000,150000,,0,0,262,,available,,1000,1000,,454787,DocNeem
272298582,9275076248367,"Nhãn hiệu         : FSLCông suất         : 6 W T5Quy cách          : 22 cmDùng cho đèn DS-D6, KTP-6W, SNS - 6W, CNMục đích: - Bóng đèn chính bị cháy không sáng, hư hỏng.- Hiệu quả bắt muỗi tự d...",68000,68000,,0,0,191,,available,,1000,1000,,279785,FSL
58014281,6912860599249,"Giá treo móc phơi, kẹp quần áo cho gọn loại lớn Inox 304 dán tường gạch men - kèm keo dán sealant fix - HOBBY GPM3Thông tin chi tiết về giá treo móc kẹp quần áo  ...",134000,199000,,65000,33,28,,available,,1000,1000,,230607,Hobby Home Decor
49100347,8297957146994,"Đau lưng là một trong những căn bệnh phổ biến thường gặp nhất ở nhiều lứa tuổi, đặc biệt là ở các đối tượng thường xuyên lao động khuân vác nặng nề, công nhân, người già, người làm trong môi trường vă...",31000,31000,,0,0,29,,available,,1000,1000,,111461,OEM
73887002,1103154484319,"Sản phẩm đèn cảm ứng thông minh có thiết kế cao cấp, giá thành rẻ, tự động bật đèn khi có người chuyển động. Bạn sẽ ko còn phải lo lắng khi thức dậy trong đếm tối nữa.Đèn cảm ứng chuyển động nhân thể:...",80000,80000,,0,0,42,,available,,1000,1000,,111461,OEM
